,host_response_rate,availability_365,neighbourhood_group,host_is_superhost,room_type,accommodates,room_type,bedrooms,beds,price,minimum_nights,review_scores_rating,amenities,instant_bookable,bathrooms
696,0.0,318,Neukölln,f,Entire home/apt,3,Entire home/apt,2.0,2.0,58.0,3,95.0,17,f,1.0
697,100.0,333,Pankow,t,Entire home/apt,4,Entire home/apt,1.0,2.0,70.0,3,96.0,5,f,1.0
700,100.0,89,Pankow,t,Entire home/apt,7,Entire home/apt,2.0,6.0,110.0,2,94.0,29,f,2.0
708,0.0,80,Pankow,f,Entire home/apt,3,Entire home/apt,2.0,2.0,55.0,14,98.0,22,f,1.0
714,100.0,90,Charlottenburg-Wilm.,t,Entire home/apt,5,Entire home/apt,1.0,6.0,83.0,30,100.0,35,t,1.0
720,100.0,231,Marzahn - Hellersdorf,t,Private room,3,Private room,1.0,3.0,30.0,1,99.0,33,t,0.0
727,100.0,289,Friedrichshain-Kreuzberg,f,Entire home/apt,5,Entire home/apt,4.0,5.0,118.0,600,96.0,10,f,2.0
732,0.0,353,Pankow,f,Entire home/apt,3,Entire home/apt,1.0,1.0,105.0,7,95.0,23,f,2.5
735,100.0,58,Tempelhof - Schöneberg,t,Entire home/apt,4,Entire home/apt,1.0,1.0,50.0,1,100.0,25,t,1.0
737,100.0,267,Charlottenburg-Wilm.,t,Entire home/apt,4,Entire home/apt,1.0,1.0,200.0,2,98.0,25,t,1.0
739,0.0,290,Friedrichshain-Kreuzberg,f,Entire home/apt,4,Entire home/apt,1.0,2.0,87.0,90,89.0,17,t,1.0
741,78.0,258,Neukölln,f,Entire home/apt,3,Entire home/apt,1.0,0.0,57.0,1,92.0,23,f,1.0
742,100.0,347,Friedrichshain-Kreuzberg,t,Entire home/apt,4,Entire home/apt,2.0,3.0,110.0,4,96.0,12,f,1.0
745,0.0,88,Charlottenburg-Wilm.,f,Entire home/apt,4,Entire home/apt,2.0,2.0,121.0,31,80.0,10,f,1.0
746,100.0,362,Mitte,f,Entire home/apt,3,Entire home/apt,1.0,2.0,114.0,3,90.0,26,t,1.0
749,100.0,288,Tempelhof - Schöneberg,f,Entire home/apt,6,Entire home/apt,3.0,4.0,95.0,60,92.0,13,f,2.0
755,100.0,45,Reinickendorf,f,Entire home/apt,6,Entire home/apt,2.0,5.0,53.0,3,87.0,26,f,1.0
756,100.0,98,Friedrichshain-Kreuzberg,f,Entire home/apt,7,Entire home/apt,3.0,9.0,150.0,5,95.0,37,f,1.5
766,100.0,307,Pankow,t,Private room,3,Private room,1.0,2.0,50.0,2,97.0,17,f,0.0
767,0.0,310,Friedrichshain-Kreuzberg,t,Entire home/apt,5,Entire home/apt,2.0,4.0,97.0,3,96.0,30,t,1.0
769,100.0,292,Mitte,f,Entire home/apt,3,Entire home/apt,2.0,2.0,50.0,2,90.0,5,f,1.0
771,100.0,63,Friedrichshain-Kreuzberg,f,Private room,3,Private room,1.0,1.0,65.0,2,88.0,15,f,0.0
778,100.0,229,Mitte,t,Entire home/apt,4,Entire home/apt,1.0,2.0,85.0,2,94.0,46,f,1.0
781,100.0,357,Friedrichshain-Kreuzberg,t,Entire home/apt,6,Entire home/apt,2.0,3.0,100.0,3,98.0,25,f,1.0
